序號	漢字	Unicode	字集	本土包	日語包	粵語包	命名包	有疑問／想挑戰紀錄
6403	㐁	03401	ExtA	V				
9933	㐂	03402	ExtA		V			
9083	㑁	03441	ExtA	V				
6745	㓤	034E4	ExtA			V		
6404	㓾	034FE	ExtA	V				
8159	㔂	03502	ExtA	V				
8160	㕸	03578	ExtA	V				
9084	㖅	03585	ExtA	V				
6405	㖭	035AD	ExtA			V		
9085	㖸	035B8	ExtA	V				
6045	㗎	035CE	ExtA			V		
9086	㗘	035D8	ExtA	V				
8161	㗱	035F1	ExtA	V				
9088	㘔	03614	ExtA	V				
8162	㘛	0361B	ExtA	V				
8163	㘝	0361D	ExtA	V				
7489	㘭	0362D	ExtA			V		
9935	㚬	036AC	ExtA				V	
9936	㛄	036C4	ExtA				V	
13577	㛢	036E2	ExtA				V	
9089	㜮	0372E	ExtA	V				
6407	㜷	03737	ExtA	V				
9090	㝗	03757	ExtA	V				
9091	㝩	03769	ExtA	V				
8164	㤉	03909	ExtA	V				
9092	㤕	03915	ExtA	V				
9093	㧁	039C1	ExtA	V				
8165	㧌	039CC	ExtA	V				
8166	㧎	039CE	ExtA	V				
6408	㧒	039D2	ExtA	V				
6046	㧡	039E1	ExtA	V				
8167	㧣	039E3	ExtA	V				
8168	㧬	039EC	ExtA			V		
8169	㧻	039FB	ExtA	V				
6047	㧾	039FE	ExtA	V				
8170	㨂	03A02	ExtA	V				
8171	㨑	03A11	ExtA	V				
13609	㨗	03A17	ExtA				V	
8172	㨨	03A28	ExtA	V				
8173	㨪	03A2A	ExtA	V				
8174	㨻	03A3B	ExtA	V				
9094	㩆	03A46	ExtA	V				
6409	㩒	03A52	ExtA			V		
9096	㪐	03A90	ExtA	V				
6048	㬹	03B39	ExtA	V		V		
9097	㰵	03C35	ExtA	V				
8176	㴘	03D18	ExtA	V				
8177	㴙	03D19	ExtA	V				
18380	㶈	03D88	ExtA				V	
18389	㷍	03DCD	ExtA				V	
6747	㷫	03DEB	ExtA			V		
8178	㷮	03DEE	ExtA	V				
9098	㸐	03E10	ExtA	V				
9099	㸰	03E30	ExtA	V				
13644	㼈	03F08	ExtA				V	
9100	㼓	03F13	ExtA	V				
8179	㽎	03F4E	ExtA	V				
8180	㾀	03F80	ExtA	V				
9101	㾊	03F8A	ExtA	V				
9102	㿸	03FF8	ExtA	V				
8181	䀐	04010	ExtA	V				
9103	䀯	0402F	ExtA	V				
6748	䀴	04034	ExtA	V				
8183	䁯	0406F	ExtA	V				
9105	䃗	040D7	ExtA	V				
5699	䆀	04180	ExtA	V				
9106	䇶	041F6	ExtA	V				
8184	䈄	04204	ExtA	V				
9107	䉂	04242	ExtA	V				
6410	䌈	04308	ExtA	V				
18449	䕒	04552	ExtA				V	
7089	䖙	04599	ExtA	V				
8185	䖳	045B3	ExtA	V				
6750	䗁	045C1	ExtA	V				
9108	䗆	045C6	ExtA	V				
9109	䗐	045D0	ExtA	V				
7493	䘆	04606	ExtA	V				
8186	䘥	04625	ExtA	V				
6411	䘼	0463C	ExtA	V				
9110	䞚	0479A	ExtA	V				
9111	䟓	047D3	ExtA	V				
9112	䟘	047D8	ExtA	V				
9113	䟩	047E9	ExtA	V				
8187	䠡	04821	ExtA	V				
9115	䢍	0488D	ExtA	V				
8188	䢢	048A2	ExtA	V				
6049	䫌	04ACC	ExtA	V				
13736	䭲	04B72	ExtA				V	
