# Char	Unicode
丐	4E10
丕	4E15
丗	4E17
个	4E2A
丱	4E31
丶	4E36
丼	4E3C
丿	4E3F
乂	4E42
乕	4E55
乖	4E56
乘	4E58
乢	4E62
亂	4E82
亅	4E85
亊	4E8A
于	4E8E
亞	4E9E
亟	4E9F
亠	4EA0
亢	4EA2
亰	4EB0
亳	4EB3
亶	4EB6
仂	4EC2
仄	4EC4
仆	4EC6
仍	4ECD
从	4ECE
仗	4ED7
仞	4EDE
仟	4EDF
仭	4EED
价	4EF7
伉	4F09
伜	4F1C
估	4F30
佇	4F47
佗	4F57
佚	4F5A
佛	4F5B
佝	4F5D
佞	4F5E
佩	4F69
佯	4F6F
佰	4F70
佶	4F76
佻	4F7B
來	4F86
侈	4F88
侏	4F8F
侑	4F91
侖	4F96
侘	4F98
侫	4FAB
俎	4FCE
俐	4FD0
俑	4FD1
俔	4FD4
俘	4FD8
俚	4FDA
俛	4FDB
俟	4FDF
俤	4FE4
俥	4FE5
俯	4FEF
俶	4FF6
俾	4FFE
倅	5005
倆	5006
倏	500F
們	5011
倔	5014
倚	501A
倡	5021
倥	5025
倨	5028
倩	5029
倪	502A
倬	502C
偃	5043
假	5047
偈	5048
偐	5050
偕	5055
偖	5056
做	505A
偬	506C
偸	5078
傀	5080
傅	5085
傚	509A
傲	50B2
傳	50B3
傴	50B4
僂	50C2
僉	50C9
僊	50CA
僖	50D6
僞	50DE
僣	50E3
僥	50E5
僭	50ED
僮	50EE
僵	50F5
價	50F9
儁	5101
儂	5102
儉	5109
儔	5114
儕	5115
儖	5116
儘	5118
儚	511A
儡	5121
儷	5137
儺	513A
儻	513B
儼	513C
儿	513F
兀	5140
兌	514C
兒	5152
兔	5154
兢	5162
兩	5169
兪	516A
兮	516E
冀	5180
冂	5182
冉	5189
册	518C
冏	518F
冐	5190
冑	5191
冓	5193
冕	5195
冖	5196
冢	51A2
冤	51A4
冦	51A6
冩	51A9
冪	51AA
冫	51AB
冰	51B0
冱	51B1
冲	51B2
决	51B3
况	51B5
冽	51BD
凅	51C5
凉	51C9
凖	51D6
凛	51DB
凜	51DC
几	51E0
凩	51E9
凭	51ED
凰	51F0
凵	51F5
凾	51FE
刄	5204
刋	520B
刎	520E
刔	5214
刧	5227
刪	522A
刮	522E
刳	5233
刹	5239
剄	5244
剋	524B
剌	524C
剏	524F
剔	5254
剞	525E
剩	5269
剪	526A
剱	5271
剳	5273
剴	5274
剽	527D
剿	527F
劈	5288
劍	528D
劑	5291
劒	5292
劔	5294
劬	52AC
劭	52AD
劵	52B5
劼	52BC
勁	52C1
勍	52CD
勒	52D2
勗	52D7
勞	52DE
勠	52E0
勣	52E3
勦	52E6
勳	52F3
勵	52F5
勸	52F8
勹	52F9
匆	5306
匈	5308
匍	530D
匏	530F
匐	5310
匕	5315
匚	531A
匣	5323
匯	532F
匱	5331
匳	5333
匸	5338
區	5340
卅	5345
卆	5346
卉	5349
卍	534D
卞	535E
卩	5369
卮	536E
卷	5377
卻	537B
厂	5382
厖	5396
厠	53A0
厥	53A5
厦	53A6
厮	53AE
厰	53B0
厶	53B6
參	53C3
