# Char	Unicode
一	4E00
丁	4E01
七	4E03
万	4E07
丈	4E08
三	4E09
上	4E0A
下	4E0B
不	4E0D
与	4E0E
且	4E14
世	4E16
丘	4E18
丙	4E19
両	4E21
並	4E26
中	4E2D
串	4E32
丸	4E38
丹	4E39
主	4E3B
丼	4E3C
久	4E45
乏	4E4F
乗	4E57
乙	4E59
九	4E5D
乞	4E5E
乱	4E71
乳	4E73
乾	4E7E
亀	4E80
了	4E86
予	4E88
争	4E89
事	4E8B
二	4E8C
互	4E92
五	4E94
井	4E95
亜	4E9C
亡	4EA1
交	4EA4
享	4EAB
京	4EAC
亭	4EAD
人	4EBA
仁	4EC1
今	4ECA
介	4ECB
仏	4ECF
仕	4ED5
他	4ED6
付	4ED8
仙	4ED9
代	4EE3
令	4EE4
以	4EE5
仮	4EEE
仰	4EF0
仲	4EF2
件	4EF6
任	4EFB
企	4F01
伎	4F0E
伏	4F0F
伐	4F10
休	4F11
会	4F1A
伝	4F1D
伯	4F2F
伴	4F34
伸	4F38
伺	4F3A
似	4F3C
但	4F46
位	4F4D
低	4F4E
住	4F4F
佐	4F50
体	4F53
何	4F55
余	4F59
作	4F5C
佳	4F73
併	4F75
使	4F7F
例	4F8B
侍	4F8D
供	4F9B
依	4F9D
価	4FA1
侮	4FAE
侯	4FAF
侵	4FB5
侶	4FB6
便	4FBF
係	4FC2
促	4FC3
俊	4FCA
俗	4FD7
保	4FDD
信	4FE1
修	4FEE
俳	4FF3
俵	4FF5
俸	4FF8
俺	4FFA
倉	5009
個	500B
倍	500D
倒	5012
候	5019
借	501F
倣	5023
値	5024
倫	502B
倹	5039
偉	5049
偏	504F
停	505C
健	5065
側	5074
偵	5075
偶	5076
偽	507D
傍	508D
傑	5091
傘	5098
備	5099
催	50AC
傲	50B2
債	50B5
傷	50B7
傾	50BE
僅	50C5
働	50CD
像	50CF
僕	50D5
僚	50DA
僧	50E7
儀	5100
億	5104
儒	5112
償	511F
優	512A
元	5143
兄	5144
充	5145
兆	5146
先	5148
光	5149
克	514B
免	514D
児	5150
党	515A
入	5165
全	5168
八	516B
公	516C
六	516D
共	5171
兵	5175
具	5177
典	5178
兼	517C
内	5185
円	5186
冊	518A
再	518D
冒	5192
冗	5197
写	5199
冠	51A0
冥	51A5
冬	51AC
冶	51B6
冷	51B7
凄	51C4
准	51C6
凍	51CD
凝	51DD
凡	51E1
処	51E6
凶	51F6
凸	51F8
凹	51F9
出	51FA
刀	5200
刃	5203
分	5206
切	5207
刈	5208
刊	520A
刑	5211
列	5217
初	521D
判	5224
別	5225
利	5229
到	5230
制	5236
刷	5237
券	5238
刹	5239
刺	523A
刻	523B
則	5247
削	524A
前	524D
剖	5256
剛	525B
剝	525D
剣	5263
剤	5264
副	526F
剰	5270
割	5272
創	5275
劇	5287
力	529B
功	529F
加	52A0
劣	52A3
助	52A9
努	52AA
励	52B1
労	52B4
効	52B9
劾	52BE
勃	52C3
勅	52C5
勇	52C7
勉	52C9
動	52D5
勘	52D8
務	52D9
勝	52DD
募	52DF
勢	52E2
勤	52E4
勧	52E7
勲	52F2
勾	52FE
匂	5302
包	5305
化	5316
北	5317
匠	5320
匹	5339
区	533A
医	533B
匿	533F
十	5341
千	5343
升	5347
午	5348
