#Char	Unicode	Tag
㵎	3D4E	LV1J
一	4E00	LV10
丁	4E01	LV8
七	4E03	LV10
万	4E07	LV9
丈	4E08	LV4
三	4E09	LV10
上	4E0A	LV10
下	4E0B	LV10
不	4E0D	LV7
与	4E0E	LV4
丐	4E10	LV1
丑	4E11	LV1J
且	4E14	LV2J
丕	4E15	LV1
世	4E16	LV8
丗	4E17	LV1
丘	4E18	LV4
丙	4E19	LV2J
丞	4E1E	LV1J
両	4E21	LV8
並	4E26	LV5
丫	4E2B	LV1
中	4E2D	LV10
丱	4E31	LV1
串	4E32	LV2
丸	4E38	LV9
丹	4E39	LV4
主	4E3B	LV8
丼	4E3C	LV2
乂	4E42	LV1
乃	4E43	LV1J
久	4E45	LV6
之	4E4B	LV1J
乍	4E4D	LV1J
乎	4E4E	LV1J
乏	4E4F	LV3
乖	4E56	LV1
乗	4E57	LV8
乙	4E59	LV3
九	4E5D	LV10
乞	4E5E	LV2
也	4E5F	LV1J
乱	4E71	LV5
乳	4E73	LV5
乾	4E7E	LV4
亀	4E80	LV2
了	4E86	LV3
予	4E88	LV8
争	4E89	LV7
事	4E8B	LV8
二	4E8C	LV10
于	4E8E	LV1
云	4E91	LV1J
互	4E92	LV4
五	4E94	LV10
井	4E95	LV7
亘	4E98	LV1J
亙	4E99	LV1J
些	4E9B	LV1J
亜	4E9C	LV2J
亟	4E9F	LV1
亡	4EA1	LV5
亢	4EA2	LV1
交	4EA4	LV9
亥	4EA5	LV1J
亦	4EA6	LV1J
亨	4EA8	LV1J
享	4EAB	LV2J
京	4EAC	LV9
亭	4EAD	LV2J
亮	4EAE	LV1J
亶	4EB6	LV1
人	4EBA	LV10
什	4EC0	LV1J
仁	4EC1	LV5
仂	4EC2	LV1
仄	4EC4	LV1
仆	4EC6	LV1
仇	4EC7	LV1J
今	4ECA	LV9
介	4ECB	LV4
仍	4ECD	LV1
仏	4ECF	LV6
仔	4ED4	LV1J
仕	4ED5	LV8
他	4ED6	LV8
仗	4ED7	LV1
付	4ED8	LV7
仙	4ED9	LV2J
仞	4EDE	LV1
仟	4EDF	LV1
代	4EE3	LV8
令	4EE4	LV7
以	4EE5	LV7
仭	4EED	LV1
仮	4EEE	LV6
仰	4EF0	LV4
仲	4EF2	LV7
件	4EF6	LV6
价	4EF7	LV1
任	4EFB	LV6
企	4F01	LV3
伉	4F09	LV1
伊	4F0A	LV1J
伍	4F0D	LV1J
伎	4F0E	LV2
伏	4F0F	LV3
伐	4F10	LV3
休	4F11	LV10
会	4F1A	LV9
伜	4F1C	LV1
伝	4F1D	LV7
伯	4F2F	LV2J
估	4F30	LV1
伴	4F34	LV3
伶	4F36	LV1J
伸	4F38	LV3
伺	4F3A	LV4
似	4F3C	LV6
伽	4F3D	LV1J
佃	4F43	LV1J
但	4F46	LV2J
佇	4F47	LV1
位	4F4D	LV7
低	4F4E	LV7
住	4F4F	LV8
佐	4F50	LV7
佑	4F51	LV1J
体	4F53	LV9
何	4F55	LV9
佗	4F57	LV1
余	4F59	LV6
佚	4F5A	LV1
作	4F5C	LV9
佝	4F5D	LV1
佞	4F5E	LV1
佩	4F69	LV1
佯	4F6F	LV1
佰	4F70	LV1
佳	4F73	LV3
併	4F75	LV2J
佶	4F76	LV1
佻	4F7B	LV1
佼	4F7C	LV1J
使	4F7F	LV8
侃	4F83	LV1J
侈	4F88	LV1
例	4F8B	LV7
侍	4F8D	LV3
侏	4F8F	LV1
侑	4F91	LV1
侖	4F96	LV1
侘	4F98	LV1
供	4F9B	LV5
依	4F9D	LV4
侠	4FA0	LV1J
価	4FA1	LV6
侮	4FAE	LV2J
侯	4FAF	LV2J
侵	4FB5	LV4
侶	4FB6	LV2
便	4FBF	LV7
係	4FC2	LV8
促	4FC3	LV3
俄	4FC4	LV1J
俊	4FCA	LV2J
俎	4FCE	LV1
俐	4FD0	LV1
俑	4FD1	LV1
俔	4FD4	LV1
俗	4FD7	LV4
俘	4FD8	LV1
俚	4FDA	LV1
俛	4FDB	LV1
保	4FDD	LV6
俞	4FDE	LV1
俟	4FDF	LV1
俠	4FE0	LV1J
信	4FE1	LV7
俣	4FE3	LV1J
俤	4FE4	LV1
俥	4FE5	LV1
修	4FEE	LV6
俯	4FEF	LV1
俱	4FF1	LV1J
俳	4FF3	LV5
俵	4FF5	LV5
俶	4FF6	LV1
俸	4FF8	LV2J
俺	4FFA	LV2
俾	4FFE	LV1
倅	5005	LV1
倆	5006	LV1
倉	5009	LV7
個	500B	LV6
倍	500D	LV8
倏	500F	LV1
們	5011	LV1
倒	5012	LV4
倔	5014	LV1
倖	5016	LV1J
候	5019	LV7
倚	501A	LV1
借	501F	LV7
倡	5021	LV1
倣	5023	LV3
値	5024	LV5
倥	5025	LV1
倦	5026	LV1J
倨	5028	LV1
倩	5029	LV1
倪	502A	LV1
倫	502B	LV2J
倬	502C	LV1
倭	502D	LV1J
倶	5036	LV1J
倹	5039	LV3
偃	5043	LV1
偈	5048	LV1
偉	5049	LV4
偏	504F	LV2J
偐	5050	LV1
偓	5053	LV1J
偕	5055	LV1
偖	5056	LV1
做	505A	LV1
停	505C	LV6
健	5065	LV7
偬	506C	LV1
偲	5072	LV1J
側	5074	LV7
偵	5075	LV2J
偶	5076	LV3
偷	5077	LV1
偸	5078	LV1
偽	507D	LV2J
傀	5080	LV1
傅	5085	LV1
傍	508D	LV4
傑	5091	LV2J
傘	5098	LV2J
備	5099	LV6
傚	509A	LV1
催	50AC	LV3
傭	50AD	LV1J
傲	50B2	LV2
傴	50B4	LV1
債	50B5	LV3
傷	50B7	LV5
傾	50BE	LV4
僂	50C2	LV1
僅	50C5	LV2
僉	50C9	LV1
僊	50CA	LV1
働	50CD	LV7
像	50CF	LV6
僑	50D1	LV1J
僕	50D5	LV2J
僖	50D6	LV1
僚	50DA	LV2J
僣	50E3	LV1
僥	50E5	LV1
僧	50E7	LV4
僭	50ED	LV1
僮	50EE	LV1
僵	50F5	LV1
僻	50FB	LV1J
儀	5100	LV4
儁	5101	LV1
儂	5102	LV1
億	5104	LV7
儒	5112	LV2J
儔	5114	LV1
儕	5115	LV1
儘	5118	LV1J
儚	511A	LV1
償	511F	LV2J
儡	5121	LV1
優	512A	LV5
儲	5132	LV1J
儳	5133	LV1
儷	5137	LV1
儺	513A	LV1
儻	513B	LV1
儼	513C	LV1
兀	5140	LV1
允	5141	LV1J
元	5143	LV9
兄	5144	LV9
充	5145	LV2J
兆	5146	LV7
兇	5147	LV1J
先	5148	LV10
光	5149	LV9
克	514B	LV3
兌	514C	LV1
免	514D	LV3
兎	514E	LV1J
児	5150	LV7
兔	5154	LV1J
党	515A	LV5
兜	515C	LV1J
兢	5162	LV1
入	5165	LV10
全	5168	LV8
兪	516A	LV1
八	516B	LV10
公	516C	LV9
六	516D	LV10
共	5171	LV7
兵	5175	LV7
其	5176	LV1J
具	5177	LV8
典	5178	LV7
兼	517C	LV4
冀	5180	LV1
内	5185	LV9
円	5186	LV10
冉	5189	LV1
冊	518A	LV5
再	518D	LV6
冏	518F	LV1
冑	5191	LV1
冒	5192	LV4
冓	5193	LV1
冕	5195	LV1
冗	5197	LV3
写	5199	LV8
冠	51A0	LV3
冢	51A2	LV1
冤	51A4	LV1
冥	51A5	LV2
冦	51A6	LV1
冪	51AA	LV1
冬	51AC	LV9
冱	51B1	LV1
冴	51B4	LV1J
冶	51B6	LV2
冷	51B7	LV7
冽	51BD	LV1
凄	51C4	LV2
凅	51C5	LV1
准	51C6	LV2J
凊	51CA	LV1
凋	51CB	LV1J
凌	51CC	LV1J
凍	51CD	LV3
凛	51DB	LV1
凜	51DC	LV1
凝	51DD	LV3
几	51E0	LV1
凡	51E1	LV4
処	51E6	LV5
凧	51E7	LV1J
凩	51E9	LV1
凪	51EA	LV1J
凭	51ED	LV1
凰	51F0	LV1J
凱	51F1	LV1J
凶	51F6	LV4
凸	51F8	LV2J
凹	51F9	LV2J
出	51FA	LV10
函	51FD	LV1J
凾	51FE	LV1J
刀	5200	LV9
刃	5203	LV2J
分	5206	LV9
切	5207	LV9
刈	5208	LV4
刊	520A	LV6
刋	520B	LV1
刎	520E	LV1
刑	5211	LV3
刔	5214	LV1
列	5217	LV8
初	521D	LV7
删	5220	LV1
判	5224	LV6
別	5225	LV7
利	5229	LV7
刪	522A	LV1
刮	522E	LV1
到	5230	LV4
刱	5231	LV1
刳	5233	LV1
制	5236	LV6
刷	5237	LV7
券	5238	LV5
刹	5239	LV2
刺	523A	LV4
刻	523B	LV5
剃	5243	LV1J
剄	5244	LV1
則	5247	LV6
削	524A	LV3
剋	524B	LV1
剌	524C	LV1
前	524D	LV9
剏	524F	LV1
剔	5254	LV1
剖	5256	LV2J
剛	525B	LV2J
剝	525D	LV2
剞	525E	LV1
剣	5263	LV4
剤	5264	LV4
剥	5265	LV2
剪	526A	LV1
副	526F	LV7
剰	5270	LV2J
割	5272	LV5
剳	5273	LV1
剴	5274	LV1
創	5275	LV5
剽	527D	LV1
剿	527F	LV1
劃	5283	LV1J
劄	5284	LV1
劇	5287	LV5
劈	5288	LV1
劉	5289	LV1J
力	529B	LV10
功	529F	LV7
加	52A0	LV7
劣	52A3	LV4
助	52A9	LV8
努	52AA	LV7
劫	52AB	LV1J
劬	52AC	LV1
劭	52AD	LV1
励	52B1	LV3
労	52B4	LV7
効	52B9	LV6
劼	52BC	LV1
劾	52BE	LV2J
勁	52C1	LV1
勃	52C3	LV2
勅	52C5	LV2J
勇	52C7	LV7
勉	52C9	LV8
勍	52CD	LV1
勒	52D2	LV1
動	52D5	LV8
勖	52D6	LV1
勗	52D7	LV1
勘	52D8	LV3
務	52D9	LV6
勝	52DD	LV8
募	52DF	LV3
勠	52E0	LV1
勢	52E2	LV6
勣	52E3	LV1
勤	52E4	LV5
勦	52E6	LV1
勧	52E7	LV4
勲	52F2	LV2J
勺	52FA	LV1J
勾	52FE	LV2
勿	52FF	LV1J
匁	5301	LV1J
匂	5302	LV2
包	5305	LV7
匆	5306	LV1
匈	5308	LV1
匍	530D	LV1
匏	530F	LV1
匐	5310	LV1
匕	5315	LV1
化	5316	LV8
北	5317	LV9
匙	5319	LV1J
匚	531A	LV1
匝	531D	LV1J
匠	5320	LV3
匡	5321	LV1J
匣	5323	LV1
匪	532A	LV1J
匯	532F	LV1
匱	5331	LV1
匳	5333	LV1
匹	5339	LV4
区	533A	LV8
医	533B	LV8
匿	533F	LV3
十	5341	LV10
千	5343	LV10
卅	5345	LV1
升	5347	LV2J
午	5348	LV9
卉	5349	LV1
半	534A	LV9
卍	534D	LV1
卑	5351	LV3
卒	5352	LV7
卓	5353	LV3
協	5354	LV7
南	5357	LV9
単	5358	LV7
博	535A	LV7
卜	535C	LV1J
占	5360	LV4
卦	5366	LV1J
卮	536E	LV1
卯	536F	LV1J
印	5370	LV7
危	5371	LV5
即	5373	LV4
却	5374	LV4
卵	5375	LV5
卸	5378	LV3
卹	5379	LV1
卻	537B	LV1
卿	537F	LV1J
厄	5384	LV2J
厖	5396	LV1
厘	5398	LV3
厚	539A	LV6
原	539F	LV9
厠	53A0	LV1
厥	53A5	LV1
厦	53A6	LV1
厨	53A8	LV1J
厩	53A9	LV1J
厭	53AD	LV1J
厮	53AE	LV1
厰	53B0	LV1J
厲	53B2	LV1
厳	53B3	LV5
去	53BB	LV8
参	53C2	LV7
又	53C8	LV3
叉	53C9	LV1J
及	53CA	LV4
友	53CB	LV9
双	53CC	LV3
反	53CD	LV8
収	53CE	LV5
叔	53D4	LV2J
取	53D6	LV8
受	53D7	LV8
叙	53D9	LV2J
叛	53DB	LV1J
叟	53DF	LV1
叡	53E1	LV1J
叢	53E2	LV1J
口	53E3	LV10
古	53E4	LV9
句	53E5	LV6
叨	53E8	LV1
叩	53E9	LV1J
只	53EA	LV1J
叫	53EB	LV4
召	53EC	LV4
叭	53ED	LV1
叮	53EE	LV1
可	53EF	LV6
台	53F0	LV9
叱	53F1	LV2
史	53F2	LV6
右	53F3	LV10
叶	53F6	LV1J
号	53F7	LV8
司	53F8	LV7
叺	53FA	LV1
吁	5401	LV1
吃	5403	LV1J
各	5404	LV7
合	5408	LV9
吉	5409	LV3
吊	540A	LV1J
吋	540B	LV1J
同	540C	LV9
名	540D	LV10
后	540E	LV5
吏	540F	LV3
吐	5410	LV4
向	5411	LV8
君	541B	LV8
吝	541D	LV1
吞	541E	LV1J
吟	541F	LV2J
吠	5420	LV1J
否	5426	LV5
吩	5429	LV1
含	542B	LV4
听	542C	LV1
吭	542D	LV1
吮	542E	LV1
吶	5436	LV1
吸	5438	LV5
吹	5439	LV4
吻	543B	LV1J
吼	543C	LV1
吽	543D	LV1
吾	543E	LV1J
呂	5442	LV2
呆	5446	LV1J
呈	5448	LV2J
呉	5449	LV2J
告	544A	LV6
呎	544E	LV1
呏	544F	LV1
呑	5451	LV1J
呟	545F	LV1
周	5468	LV7
呪	546A	LV2
呰	5470	LV1
呱	5471	LV1
味	5473	LV8
呵	5475	LV1
呶	5476	LV1
呷	5477	LV1
呻	547B	LV1
呼	547C	LV5
命	547D	LV8
咀	5480	LV1
咄	5484	LV1
咆	5486	LV1
和	548C	LV8
咎	548E	LV1
咏	548F	LV1
咐	5490	LV1
咒	5492	LV1J
咢	54A2	LV1
咤	54A4	LV1
咥	54A5	LV1
咨	54A8	LV1
咫	54AB	LV1
咬	54AC	LV1
咲	54B2	LV4
咳	54B3	LV1J
咸	54B8	LV1
咽	54BD	LV2
哀	54C0	LV3
品	54C1	LV8
哂	54C2	LV1
哄	54C4	LV1
哇	54C7	LV1
哈	54C8	LV1
哉	54C9	LV1J
員	54E1	LV8
哢	54E2	LV1
哥	54E5	LV1
哦	54E6	LV1
哨	54E8	LV1J
哩	54E9	LV1J
哭	54ED	LV1
哮	54EE	LV1
哲	54F2	LV3
哳	54F3	LV1
哺	54FA	LV2
哽	54FD	LV1
唄	5504	LV2
唆	5506	LV2J
唇	5507	LV2J
唏	550F	LV1
唐	5510	LV4
唔	5514	LV1
唖	5516	LV1J
售	552E	LV1
唯	552F	LV2J
唱	5531	LV7
唳	5533	LV1
唸	5538	LV1
唹	5539	LV1
唾	553E	LV2
啀	5540	LV1
啄	5544	LV1J
啅	5545	LV1
商	5546	LV8
問	554F	LV8
啐	5550	LV1J
啓	5553	LV3
啖	5556	LV1
啗	5557	LV1
啜	555C	LV1
啞	555E	LV1J
啣	5563	LV1
啻	557B	LV1
啼	557C	LV1
啾	557E	LV1
喀	5580	LV1
喃	5583	LV1
善	5584	LV5
喇	5587	LV1
喉	5589	LV2
喊	558A	LV1
喋	558B	LV1J
喑	5591	LV1
喘	5598	LV1
喙	5599	LV1
喚	559A	LV3
喜	559C	LV6
喝	559D	LV2J
喞	559E	LV1
喟	559F	LV1
喧	55A7	LV1J
喨	55A8	LV1
喩	55A9	LV2
喪	55AA	LV2J
喫	55AB	LV3
喬	55AC	LV1J
喰	55B0	LV1J
営	55B6	LV6
喻	55BB	LV2
嗄	55C4	LV1
嗅	55C5	LV2
嗇	55C7	LV1
嗔	55D4	LV1
嗚	55DA	LV1
嗜	55DC	LV1
嗟	55DF	LV1
嗣	55E3	LV2J
嗤	55E4	LV1
嗷	55F7	LV1
嗽	55FD	LV1
嗾	55FE	LV1
嘆	5606	LV4
嘉	5609	LV1J
嘔	5614	LV1
嘖	5616	LV1
嘗	5617	LV1J
嘘	5618	LV1J
嘛	561B	LV1
嘩	5629	LV1J
嘯	562F	LV1
嘱	5631	LV3
嘲	5632	LV2
嘴	5634	LV1
嘶	5636	LV1
嘸	5638	LV1
噁	5641	LV1
噂	5642	LV1J
噌	564C	LV1J
噎	564E	LV1
噓	5653	LV1J
噛	565B	LV1J
噤	5664	LV1
噦	5666	LV1
器	5668	LV7
噪	566A	LV1
噫	566B	LV1
噬	566C	LV1
噯	566F	LV1
噴	5674	LV4
噸	5678	LV1J
噺	567A	LV1J
嚀	5680	LV1
嚆	5686	LV1
嚇	5687	LV2J
嚊	568A	LV1
嚏	568F	LV1
嚔	5694	LV1
嚙	5699	LV1J
嚠	56A0	LV1
嚢	56A2	LV1J
嚥	56A5	LV1
嚬	56AC	LV1
嚮	56AE	LV1
嚶	56B6	LV1
嚼	56BC	LV1
囀	56C0	LV1
囁	56C1	LV1
囂	56C2	LV1
囃	56C3	LV1
囈	56C8	LV1
囊	56CA	LV1J
囓	56D3	LV1
囚	56DA	LV2J
四	56DB	LV10
回	56DE	LV9
因	56E0	LV6
団	56E3	LV6
囮	56EE	LV1
困	56F0	LV5
囲	56F2	LV6
図	56F3	LV9
囹	56F9	LV1
固	56FA	LV7
国	56FD	LV9
囿	56FF	LV1
圀	5700	LV1
圃	5703	LV1J
圄	5704	LV1
圉	5709	LV1
圏	570F	LV4
園	5712	LV9
圜	571C	LV1
土	571F	LV10
圦	5726	LV1
圧	5727	LV6
在	5728	LV6
圭	572D	LV1J
地	5730	LV9
圻	573B	LV1
址	5740	LV1
坂	5742	LV8
均	5747	LV6
坊	574A	LV4
坎	574E	LV1
坏	574F	LV1
坐	5750	LV1J
坑	5751	LV3
坡	5761	LV1
坤	5764	LV1J
坦	5766	LV1J
坩	5769	LV1
坪	576A	LV2J
坿	577F	LV1
垂	5782	LV5
型	578B	LV6
垓	5793	LV1
垠	57A0	LV1
垢	57A2	LV1J
垣	57A3	LV2J
垤	57A4	LV1
埃	57C3	LV1
埆	57C6	LV1
埋	57CB	LV3
城	57CE	LV7
埒	57D2	LV1
埜	57DC	LV1J
域	57DF	LV5
埠	57E0	LV1J
埳	57F3	LV1
埴	57F4	LV1J
執	57F7	LV4
培	57F9	LV2J
基	57FA	LV6
埼	57FC	LV7
堀	5800	LV2J
堂	5802	LV6
堅	5805	LV4
堆	5806	LV2
堊	580A	LV1
堋	580B	LV1
堕	5815	LV2J
堙	5819	LV1
堝	581D	LV1
堡	5821	LV1
堤	5824	LV4
堪	582A	LV2J
堰	5830	LV1J
報	5831	LV6
場	5834	LV9
堵	5835	LV1J
堺	583A	LV1J
堽	583D	LV1
塀	5840	LV2J
塁	5841	LV2J
塊	584A	LV3
塋	584B	LV1
塑	5851	LV2J
塒	5852	LV1
塔	5854	LV4
塗	5857	LV3
塘	5858	LV1J
塙	5859	LV1J
塚	585A	LV2J
塞	585E	LV2
塡	5861	LV2
塩	5869	LV7
填	586B	LV2
塵	5875	LV1J
塹	5879	LV1
塾	587E	LV2J
塿	587F	LV1
境	5883	LV6
墅	5885	LV1
墓	5893	LV6
増	5897	LV6
墜	589C	LV3
墟	589F	LV1
墨	58A8	LV3
墳	58B3	LV3
墻	58BB	LV1
墾	58BE	LV3
壁	58C1	LV4
壅	58C5	LV1
壇	58C7	LV3
壊	58CA	LV4
壌	58CC	LV2J
壎	58CE	LV1
壑	58D1	LV1
壕	58D5	LV1J
壙	58D9	LV1
壜	58DC	LV1
壟	58DF	LV1
壥	58E5	LV1
士	58EB	LV6
壬	58EC	LV1J
壮	58EE	LV2J
声	58F0	LV9
壱	58F1	LV4
売	58F2	LV9
壷	58F7	LV1J
壺	58FA	LV1J
壼	58FC	LV1
変	5909	LV7
夏	590F	LV9
夐	5910	LV1
夕	5915	LV10
外	5916	LV9
夙	5919	LV1J
多	591A	LV9
夜	591C	LV9
夢	5922	LV6
夥	5925	LV1
大	5927	LV10
天	5929	LV10
太	592A	LV9
夫	592B	LV7
夬	592C	LV1
夭	592D	LV1
央	592E	LV8
失	5931	LV7
夲	5932	LV1
夷	5937	LV1J
夸	5938	LV1
夾	593E	LV1
奄	5944	LV1J
奇	5947	LV4
奈	5948	LV7
奉	5949	LV3
奎	594E	LV1
奏	594F	LV5
奐	5950	LV1
契	5951	LV3
奔	5954	LV2J
奕	5955	LV1
套	5957	LV1J
奘	5958	LV1
奚	595A	LV1
奠	5960	LV1
奢	5962	LV1
奥	5965	LV4
奨	5968	LV2J
奪	596A	LV3
奮	596E	LV5
女	5973	LV10
奴	5974	LV4
奸	5978	LV1
好	597D	LV7
妁	5981	LV1
如	5982	LV3
妃	5983	LV2J
妄	5984	LV2J
妊	598A	LV2J
妍	598D	LV1
妓	5993	LV1J
妖	5996	LV2
妙	5999	LV4
妝	599D	LV1
妣	59A3	LV1
妥	59A5	LV2J
妨	59A8	LV3
妬	59AC	LV2
妲	59B2	LV1
妹	59B9	LV9
妻	59BB	LV6
妾	59BE	LV1J
姆	59C6	LV1
姉	59C9	LV9
始	59CB	LV8
姐	59D0	LV1J
姑	59D1	LV1J
姓	59D3	LV4
委	59D4	LV8
姙	59D9	LV1
姚	59DA	LV1
姜	59DC	LV1
姥	59E5	LV1J
姦	59E6	LV1J
姨	59E8	LV1
姪	59EA	LV1J
姫	59EB	LV3
姮	59EE	LV1
姶	59F6	LV1J
姸	59F8	LV1
姻	59FB	LV2J
姿	59FF	LV5
威	5A01	LV4
娃	5A03	LV1J
娉	5A09	LV1
娑	5A11	LV1
娘	5A18	LV4
娜	5A1C	LV1
娟	5A1F	LV1
娠	5A20	LV2J
娥	5A25	LV1
娩	5A29	LV1J
娯	5A2F	LV3
娵	5A35	LV1
娶	5A36	LV1
娼	5A3C	LV1J
婀	5A40	LV1
婁	5A41	LV1J
婆	5A46	LV3
婉	5A49	LV1
婚	5A5A	LV4
婢	5A62	LV1
婦	5A66	LV6
婪	5A6A	LV1
婬	5A6C	LV1
婿	5A7F	LV3
媒	5A92	LV2J
媚	5A9A	LV1
媛	5A9B	LV7
媼	5ABC	LV1
媽	5ABD	LV1
媾	5ABE	LV1
嫁	5AC1	LV3
嫂	5AC2	LV1
嫉	5AC9	LV2
嫋	5ACB	LV1
嫌	5ACC	LV2J
嫖	5AD6	LV1
嫗	5AD7	LV1
嫡	5AE1	LV2J
嫣	5AE3	LV1
嫦	5AE6	LV1
嫩	5AE9	LV1
嫺	5AFA	LV1
嫻	5AFB	LV1
嬉	5B09	LV1J
嬋	5B0B	LV1
嬌	5B0C	LV1
嬖	5B16	LV1
嬢	5B22	LV3
嬪	5B2A	LV1
嬬	5B2C	LV1J
嬰	5B30	LV1J
嬲	5B32	LV1
嬶	5B36	LV1
嬾	5B3E	LV1
孀	5B40	LV1
孅	5B45	LV1
子	5B50	LV10
孑	5B51	LV1
孒	5B52	LV1
孔	5B54	LV3
孕	5B55	LV1
字	5B57	LV10
存	5B58	LV5
孚	5B5A	LV1
孛	5B5B	LV1
孜	5B5C	LV1J
孝	5B5D	LV5
孟	5B5F	LV1J
季	5B63	LV7
孤	5B64	LV3
孥	5B65	LV1
学	5B66	LV10
孩	5B69	LV1
孫	5B6B	LV7
孰	5B70	LV1
孱	5B71	LV1
孳	5B73	LV1
孵	5B75	LV1
孶	5B76	LV1
孺	5B7A	LV1
孼	5B7C	LV1
孽	5B7D	LV1
宅	5B85	LV5
宇	5B87	LV5
守	5B88	LV8
安	5B89	LV8
宋	5B8B	LV1J
完	5B8C	LV7
宍	5B8D	LV1J
宏	5B8F	LV1J
宕	5B95	LV1J
宗	5B97	LV5
官	5B98	LV7
宙	5B99	LV5
定	5B9A	LV8
宛	5B9B	LV2
宜	5B9C	LV2J
宝	5B9D	LV5
実	5B9F	LV8
客	5BA2	LV8
宣	5BA3	LV5
室	5BA4	LV9
宥	5BA5	LV1J
宦	5BA6	LV1
宮	5BAE	LV8
宰	5BB0	LV2J
害	5BB3	LV7
宴	5BB4	LV3
宵	5BB5	LV2J
家	5BB6	LV9
宸	5BB8	LV1
容	5BB9	LV6
宿	5BBF	LV8
寂	5BC2	LV4
寃	5BC3	LV1
寄	5BC4	LV6
寅	5BC5	LV1J
密	5BC6	LV5
寇	5BC7	LV1
富	5BCC	LV7
寐	5BD0	LV1
寒	5BD2	LV8
寓	5BD3	LV1J
寔	5BD4	LV1
寛	5BDB	LV2J
寝	5BDD	LV4
寞	5BDE	LV1
察	5BDF	LV7
寡	5BE1	LV2J
寤	5BE4	LV1
寥	5BE5	LV1
寧	5BE7	LV2J
寨	5BE8	LV1
審	5BE9	LV3
寮	5BEE	LV2J
寰	5BF0	LV1
寵	5BF5	LV1J
寸	5BF8	LV5
寺	5BFA	LV9
対	5BFE	LV8
寿	5BFF	LV3
封	5C01	LV3
専	5C02	LV5
射	5C04	LV5
将	5C06	LV5
尉	5C09	LV2J
尊	5C0A	LV5
尋	5C0B	LV4
導	5C0E	LV6
小	5C0F	LV10
少	5C11	LV9
尖	5C16	LV1J
尚	5C1A	LV2J
尠	5C20	LV1
尤	5C24	LV1J
尨	5C28	LV1
尭	5C2D	LV1J
就	5C31	LV5
尸	5C38	LV1
尹	5C39	LV1
尺	5C3A	LV5
尻	5C3B	LV2
尼	5C3C	LV2J
尽	5C3D	LV4
尾	5C3E	LV4
尿	5C3F	LV3
局	5C40	LV8
屁	5C41	LV1
居	5C45	LV6
屈	5C48	LV4
届	5C4A	LV5
屋	5C4B	LV8
屍	5C4D	LV1J
屎	5C4E	LV1
屏	5C4F	LV1
屑	5C51	LV1J
屓	5C53	LV1
展	5C55	LV5
屛	5C5B	LV1
属	5C5E	LV6
屠	5C60	LV1
屡	5C61	LV1J
屢	5C62	LV1J
層	5C64	LV5
履	5C65	LV2J
屭	5C6D	LV1
屯	5C6F	LV2J
山	5C71	LV10
屶	5C76	LV1
屹	5C79	LV1
岌	5C8C	LV1
岐	5C90	LV7
岑	5C91	LV1
岔	5C94	LV1
岡	5CA1	LV7
岨	5CA8	LV1J
岩	5CA9	LV9
岫	5CAB	LV1
岬	5CAC	LV2J
岱	5CB1	LV1J
岳	5CB3	LV3
岸	5CB8	LV8
峙	5CD9	LV1
峠	5CE0	LV4
峡	5CE1	LV3
峨	5CE8	LV1J
峩	5CE9	LV1J
峪	5CEA	LV1
峭	5CED	LV1
峯	5CEF	LV1J
峰	5CF0	LV4
島	5CF6	LV8
峻	5CFB	LV1J
崇	5D07	LV2J
崎	5D0E	LV7
崑	5D11	LV1
崔	5D14	LV1
崕	5D15	LV1J
崖	5D16	LV2
崘	5D18	LV1
崙	5D19	LV1
崚	5D1A	LV1
崛	5D1B	LV1
崟	5D1F	LV1
崢	5D22	LV1
崩	5D29	LV3
嵋	5D4B	LV1
嵌	5D4C	LV1
嵎	5D4E	LV1
嵐	5D50	LV2
嵒	5D52	LV1
嵩	5D69	LV1J
嵬	5D6C	LV1
嵯	5D6F	LV1J
嵳	5D73	LV1J
嶂	5D82	LV1
嶄	5D84	LV1
嶇	5D87	LV1
嶋	5D8B	LV1J
嶝	5D9D	LV1
嶢	5DA2	LV1
嶬	5DAC	LV1
嶮	5DAE	LV1
嶷	5DB7	LV1
嶺	5DBA	LV1J
嶼	5DBC	LV1
巉	5DC9	LV1
巌	5DCC	LV1J
巍	5DCD	LV1
巒	5DD2	LV1
巓	5DD3	LV1
川	5DDD	LV10
州	5DDE	LV8
巡	5DE1	LV4
