序號	符號	Unicode	分類	建議寬度	備註	本土包	日語包	粵語包	命名包	符號包	有疑問／想挑戰紀錄
321	Α	00391	希臘文	比例	希臘字母					V	
322	Β	00392	希臘文	比例	希臘字母					V	
323	Γ	00393	希臘文	比例	希臘字母					V	
324	Δ	00394	希臘文	比例	希臘字母					V	
325	Ε	00395	希臘文	比例	希臘字母					V	
326	Ζ	00396	希臘文	比例	希臘字母					V	
327	Η	00397	希臘文	比例	希臘字母					V	
328	Θ	00398	希臘文	比例	希臘字母					V	
329	Ι	00399	希臘文	比例	希臘字母					V	
330	Κ	0039A	希臘文	比例	希臘字母					V	
331	Λ	0039B	希臘文	比例	希臘字母					V	
332	Μ	0039C	希臘文	比例	希臘字母					V	
333	Ν	0039D	希臘文	比例	希臘字母					V	
334	Ξ	0039E	希臘文	比例	希臘字母					V	
335	Ο	0039F	希臘文	比例	希臘字母					V	
336	Π	003A0	希臘文	比例	希臘字母					V	
337	Ρ	003A1	希臘文	比例	希臘字母					V	
338	Σ	003A3	希臘文	比例	希臘字母					V	
339	Τ	003A4	希臘文	比例	希臘字母					V	
340	Υ	003A5	希臘文	比例	希臘字母					V	
341	Φ	003A6	希臘文	比例	希臘字母					V	
342	Χ	003A7	希臘文	比例	希臘字母					V	
343	Ψ	003A8	希臘文	比例	希臘字母					V	
344	Ω	003A9	希臘文	比例	希臘字母					V	
345	α	003B1	希臘文	比例	希臘字母					V	
346	β	003B2	希臘文	比例	希臘字母					V	
347	γ	003B3	希臘文	比例	希臘字母					V	
348	δ	003B4	希臘文	比例	希臘字母					V	
349	ε	003B5	希臘文	比例	希臘字母					V	
350	ζ	003B6	希臘文	比例	希臘字母					V	
351	η	003B7	希臘文	比例	希臘字母					V	
352	θ	003B8	希臘文	比例	希臘字母					V	
353	ι	003B9	希臘文	比例	希臘字母					V	
354	κ	003BA	希臘文	比例	希臘字母					V	
355	λ	003BB	希臘文	比例	希臘字母					V	
356	μ	003BC	希臘文	比例	希臘字母					V	
357	ν	003BD	希臘文	比例	希臘字母					V	
358	ξ	003BE	希臘文	比例	希臘字母					V	
359	ο	003BF	希臘文	比例	希臘字母					V	
360	π	003C0	希臘文	比例	希臘字母					V	
361	ρ	003C1	希臘文	比例	希臘字母					V	
362	σ	003C3	希臘文	比例	希臘字母					V	
363	τ	003C4	希臘文	比例	希臘字母					V	
364	υ	003C5	希臘文	比例	希臘字母					V	
365	φ	003C6	希臘文	比例	希臘字母					V	
366	χ	003C7	希臘文	比例	希臘字母					V	
367	ψ	003C8	希臘文	比例	希臘字母					V	
368	ω	003C9	希臘文	比例	希臘字母					V	
431	∣	02223	全形符號_數學	全形	全形垂直線					V	
470	⑴	02474	圈號英數	全形	括號數字					V	
471	⑵	02475	圈號英數	全形	括號數字					V	
472	⑶	02476	圈號英數	全形	括號數字					V	
473	⑷	02477	圈號英數	全形	括號數字					V	
474	⑸	02478	圈號英數	全形	括號數字					V	
475	⑹	02479	圈號英數	全形	括號數字					V	
476	⑺	0247A	圈號英數	全形	括號數字					V	
477	⑻	0247B	圈號英數	全形	括號數字					V	
478	⑼	0247C	圈號英數	全形	括號數字					V	
479	⑽	0247D	圈號英數	全形	括號數字					V	
480	⑾	0247E	圈號英數	全形	括號數字					V	
481	⑿	0247F	圈號英數	全形	括號數字					V	
482	⒀	02480	圈號英數	全形	括號數字					V	
483	⒁	02481	圈號英數	全形	括號數字					V	
484	⒂	02482	圈號英數	全形	括號數字					V	
485	⒃	02483	圈號英數	全形	括號數字					V	
486	⒄	02484	圈號英數	全形	括號數字					V	
487	⒅	02485	圈號英數	全形	括號數字					V	
488	⒆	02486	圈號英數	全形	括號數字					V	
