序號	漢字	Unicode	字集	有疑問／想挑戰紀錄
7491	㹴	03E74	ExtA	
9114	䠷	04837	ExtA	
1	一	04E00	Big5-1	
2	丁	04E01	Big5-1	
3	七	04E03	Big5-1	
5012	万	04E07	Big5-2	
4	丈	04E08	Big5-1	
5	三	04E09	Big5-1	
6	上	04E0A	Big5-1	
7	下	04E0B	Big5-1	
8	不	04E0D	Big5-1	
5013	与	04E0E	Big5-2	
9	丐	04E10	Big5-1	
10	丑	04E11	Big5-1	
11	且	04E14	Big5-1	
12	丕	04E15	Big5-1	
13	世	04E16	Big5-1	
14	丘	04E18	Big5-1	
15	丙	04E19	Big5-1	
16	丞	04E1E	Big5-1	
17	丟	04E1F	Big5-1	
18	並	04E26	Big5-1	
19	丫	04E2B	Big5-1	
20	中	04E2D	Big5-1	
21	丰	04E30	Big5-1	
22	串	04E32	Big5-1	
23	丸	04E38	Big5-1	
24	丹	04E39	Big5-1	
25	主	04E3B	Big5-1	
5014	丼	04E3C	Big5-2	
5702	乂	04E42	Big5-2	
26	乃	04E43	Big5-1	
27	久	04E45	Big5-1	
28	么	04E48	Big5-1	
29	之	04E4B	Big5-1	
30	乍	04E4D	Big5-1	
31	乎	04E4E	Big5-1	
32	乏	04E4F	Big5-1	
33	乒	04E52	Big5-1	
34	乓	04E53	Big5-1	
35	乖	04E56	Big5-1	
36	乘	04E58	Big5-1	
37	乙	04E59	Big5-1	
38	乜	04E5C	Big5-2	
39	九	04E5D	Big5-1	
40	乞	04E5E	Big5-1	
41	也	04E5F	Big5-1	
42	乩	04E69	Big5-1	
43	乳	04E73	Big5-1	
44	乾	04E7E	Big5-1	
45	亂	04E82	Big5-1	
46	了	04E86	Big5-1	
47	予	04E88	Big5-1	
48	事	04E8B	Big5-1	
49	二	04E8C	Big5-1	
50	于	04E8E	Big5-1	
51	云	04E91	Big5-1	
52	互	04E92	Big5-1	
5399	亓	04E93	Big5-2	
53	五	04E94	Big5-1	
54	井	04E95	Big5-1	
5703	亘	04E98	CJK	
55	亙	04E99	Big5-1	
56	些	04E9B	Big5-1	
57	亞	04E9E	Big5-1	
58	亟	04E9F	Big5-1	
59	亡	04EA1	Big5-1	
5015	亢	04EA2	Big5-1	
60	交	04EA4	Big5-1	
61	亥	04EA5	Big5-1	
62	亦	04EA6	Big5-1	
63	亨	04EA8	Big5-1	
64	享	04EAB	Big5-1	
65	京	04EAC	Big5-1	
66	亭	04EAD	Big5-1	
67	亮	04EAE	Big5-1	
5016	亳	04EB3	Big5-1	
68	人	04EBA	Big5-1	
69	什	04EC0	Big5-1	
70	仁	04EC1	Big5-1	
71	仃	04EC3	Big5-1	
72	仄	04EC4	Big5-1	
73	仆	04EC6	Big5-1	
74	仇	04EC7	Big5-1	
75	今	04ECA	Big5-1	
76	介	04ECB	Big5-1	
77	仍	04ECD	Big5-1	
78	仔	04ED4	Big5-1	
79	仕	04ED5	Big5-1	
80	他	04ED6	Big5-1	
81	仗	04ED7	Big5-1	
82	付	04ED8	Big5-1	
83	仙	04ED9	Big5-1	
5400	仝	04EDD	Big5-2	
84	仞	04EDE	Big5-1	
85	仟	04EDF	Big5-1	
86	代	04EE3	Big5-1	
87	令	04EE4	Big5-1	
88	以	04EE5	Big5-1	
5401	仨	04EE8	Big5-2	
89	仰	04EF0	Big5-1	
90	仲	04EF2	Big5-1	
91	仳	04EF3	Big5-1	
6755	仵	04EF5	Big5-2	
92	件	04EF6	Big5-1	
5402	价	04EF7	Big5-2	
93	任	04EFB	Big5-1	
94	份	04EFD	Big5-1	
95	仿	04EFF	Big5-1	
96	企	04F01	Big5-1	
5704	伃	04F03	CJK	
97	伉	04F09	Big5-1	
98	伊	04F0A	Big5-1	
6417	伋	04F0B	Big5-1	
99	伍	04F0D	Big5-1	
5403	伎	04F0E	Big5-2	
100	伏	04F0F	Big5-1	
101	伐	04F10	Big5-1	
102	休	04F11	Big5-1	
103	伕	04F15	Big5-1	
5017	优	04F18	Big5-2	
104	伙	04F19	Big5-1	
5705	伝	04F1D	Big5-2	
105	伯	04F2F	Big5-1	
106	估	04F30	Big5-1	
107	伴	04F34	Big5-1	
108	伶	04F36	Big5-1	
109	伸	04F38	Big5-1	
110	伺	04F3A	Big5-1	
111	似	04F3C	Big5-1	
112	伽	04F3D	Big5-1	
113	佃	04F43	Big5-1	
114	但	04F46	Big5-1	
115	佇	04F47	Big5-1	
116	佈	04F48	Big5-1	
117	位	04F4D	Big5-1	
118	低	04F4E	Big5-1	
119	住	04F4F	Big5-1	
120	佐	04F50	Big5-1	
121	佑	04F51	Big5-1	
122	体	04F53	Big5-2	
123	佔	04F54	Big5-1	
124	何	04F55	Big5-1	
125	佗	04F57	Big5-1	
5404	佘	04F58	Big5-2	
126	余	04F59	Big5-1	
5018	佚	04F5A	Big5-1	
127	佛	04F5B	Big5-1	
128	作	04F5C	Big5-1	
129	佝	04F5D	Big5-1	
130	佞	04F5E	Big5-1	
5405	佟	04F5F	Big5-2	
131	你	04F60	Big5-1	
5406	佢	04F62	Big5-2	
132	佣	04F63	Big5-1	
133	佩	04F69	Big5-1	
134	佬	04F6C	Big5-1	
135	佯	04F6F	Big5-1	
136	佰	04F70	Big5-1	
137	佳	04F73	Big5-1	
138	併	04F75	Big5-1	
5706	佶	04F76	Big5-2	
6420	佺	04F7A	Big5-1	
139	佻	04F7B	Big5-1	
5019	佼	04F7C	Big5-2	
140	佾	04F7E	Big5-1	
141	使	04F7F	Big5-1	
142	侃	04F83	Big5-1	
143	侄	04F84	Big5-2	
144	來	04F86	Big5-1	
145	侈	04F88	Big5-1	
146	例	04F8B	Big5-1	
147	侍	04F8D	Big5-1	
148	侏	04F8F	Big5-1	
149	侑	04F91	Big5-1	
5707	侔	04F94	Big5-2	
150	侖	04F96	Big5-1	
5708	侗	04F97	Big5-2	
5709	侘	04F98	Big5-2	
151	供	04F9B	Big5-1	
152	依	04F9D	Big5-1	
153	侮	04FAE	Big5-1	
154	侯	04FAF	Big5-1	
155	侵	04FB5	Big5-1	
156	侶	04FB6	Big5-1	
157	侷	04FB7	Big5-1	
158	便	04FBF	Big5-1	
159	係	04FC2	Big5-1	
160	促	04FC3	Big5-1	
161	俄	04FC4	Big5-1	
162	俊	04FCA	Big5-1	
7100	俋	04FCB	Big5-2	
163	俎	04FCE	Big5-1	
164	俏	04FCF	Big5-1	
165	俐	04FD0	Big5-1	
166	俑	04FD1	Big5-1	
167	俗	04FD7	Big5-1	
168	俘	04FD8	Big5-1	
169	俚	04FDA	Big5-1	
170	保	04FDD	Big5-1	
171	俞	04FDE	Big5-1	
172	俟	04FDF	Big5-1	
173	俠	04FE0	Big5-1	
174	信	04FE1	Big5-1	
7503	俣	04FE3	CJK	
5710	俥	04FE5	CJK	
5407	俬	04FEC	Big5-2	
175	修	04FEE	Big5-1	
176	俯	04FEF	Big5-1	
177	俱	04FF1	Big5-1	
178	俳	04FF3	Big5-1	
5711	俵	04FF5	Big5-2	
6054	俶	04FF6	Big5-2	
