#Char	Unicode	Tag
一	4E00	1
丁	4E01	3
七	4E03	1
万	4E07	2
三	4E09	1
上	4E0A	1
下	4E0B	1
不	4E0D	4
世	4E16	3
両	4E21	3
並	4E26	6
中	4E2D	1
丸	4E38	2
主	4E3B	3
久	4E45	5
乗	4E57	3
九	4E5D	1
乱	4E71	6
乳	4E73	6
予	4E88	3
争	4E89	4
事	4E8B	3
二	4E8C	1
五	4E94	1
井	4E95	4
亡	4EA1	6
交	4EA4	2
京	4EAC	2
人	4EBA	1
仁	4EC1	6
今	4ECA	2
仏	4ECF	5
仕	4ED5	3
他	4ED6	3
付	4ED8	4
代	4EE3	3
令	4EE4	4
以	4EE5	4
仮	4EEE	5
仲	4EF2	4
件	4EF6	5
任	4EFB	5
休	4F11	1
会	4F1A	2
伝	4F1D	4
似	4F3C	5
位	4F4D	4
低	4F4E	4
住	4F4F	3
佐	4F50	4
体	4F53	2
何	4F55	2
余	4F59	5
作	4F5C	2
使	4F7F	3
例	4F8B	4
供	4F9B	6
価	4FA1	5
便	4FBF	4
係	4FC2	3
保	4FDD	5
信	4FE1	4
修	4FEE	5
俳	4FF3	6
俵	4FF5	6
倉	5009	4
個	500B	5
倍	500D	3
候	5019	4
借	501F	4
値	5024	6
停	505C	5
健	5065	4
側	5074	4
備	5099	5
傷	50B7	6
働	50CD	4
像	50CF	5
億	5104	4
優	512A	6
元	5143	2
兄	5144	2
兆	5146	4
先	5148	1
光	5149	2
児	5150	4
党	515A	6
入	5165	1
全	5168	3
八	516B	1
公	516C	2
六	516D	1
共	5171	4
兵	5175	4
具	5177	3
典	5178	4
内	5185	2
円	5186	1
冊	518A	6
再	518D	5
写	5199	3
冬	51AC	2
冷	51B7	4
処	51E6	6
出	51FA	1
刀	5200	2
分	5206	2
切	5207	2
刊	520A	5
列	5217	3
初	521D	4
判	5224	5
別	5225	4
利	5229	4
制	5236	5
刷	5237	4
券	5238	6
刻	523B	6
則	5247	5
前	524D	2
副	526F	4
割	5272	6
創	5275	6
劇	5287	6
力	529B	1
功	529F	4
加	52A0	4
助	52A9	3
努	52AA	4
労	52B4	4
効	52B9	5
勇	52C7	4
勉	52C9	3
動	52D5	3
務	52D9	5
勝	52DD	3
勢	52E2	5
勤	52E4	6
包	5305	4
化	5316	3
北	5317	2
区	533A	3
医	533B	3
十	5341	1
千	5343	1
午	5348	2
半	534A	2
卒	5352	4
協	5354	4
南	5357	2
単	5358	4
博	535A	4
印	5370	4
危	5371	6
卵	5375	6
厚	539A	5
原	539F	2
厳	53B3	6
去	53BB	3
参	53C2	4
友	53CB	2
反	53CD	3
収	53CE	6
取	53D6	3
受	53D7	3
口	53E3	1
古	53E4	2
句	53E5	5
可	53EF	5
台	53F0	2
史	53F2	5
右	53F3	1
号	53F7	3
司	53F8	4
各	5404	4
合	5408	2
同	540C	2
名	540D	1
后	540E	6
向	5411	3
君	541B	3
否	5426	6
吸	5438	6
告	544A	5
周	5468	4
味	5473	3
呼	547C	6
命	547D	3
和	548C	3
品	54C1	3
員	54E1	3
唱	5531	4
商	5546	3
問	554F	3
善	5584	6
喜	559C	5
営	55B6	5
器	5668	4
四	56DB	1
回	56DE	2
因	56E0	5
団	56E3	5
困	56F0	6
囲	56F2	5
図	56F3	2
固	56FA	4
国	56FD	2
園	5712	2
土	571F	1
圧	5727	5
在	5728	5
地	5730	2
坂	5742	3
均	5747	5
垂	5782	6
型	578B	5
城	57CE	4
域	57DF	6
基	57FA	5
埼	57FC	4
堂	5802	5
報	5831	5
場	5834	2
塩	5869	4
境	5883	5
墓	5893	5
増	5897	5
士	58EB	5
声	58F0	2
売	58F2	2
変	5909	4
夏	590F	2
夕	5915	1
外	5916	2
多	591A	2
夜	591C	2
夢	5922	5
大	5927	1
天	5929	1
太	592A	2
夫	592B	4
央	592E	3
失	5931	4
奈	5948	4
奏	594F	6
奮	596E	6
女	5973	1
好	597D	4
妹	59B9	2
妻	59BB	5
姉	59C9	2
始	59CB	3
委	59D4	3
姿	59FF	6
婦	5A66	5
媛	5A9B	4
子	5B50	1
字	5B57	1
存	5B58	6
孝	5B5D	6
季	5B63	4
学	5B66	1
孫	5B6B	4
宅	5B85	6
宇	5B87	6
守	5B88	3
安	5B89	3
完	5B8C	4
宗	5B97	6
官	5B98	4
宙	5B99	6
定	5B9A	3
宝	5B9D	6
実	5B9F	3
客	5BA2	3
宣	5BA3	6
室	5BA4	2
宮	5BAE	3
害	5BB3	4
家	5BB6	2
容	5BB9	5
宿	5BBF	3
寄	5BC4	5
密	5BC6	6
富	5BCC	4
寒	5BD2	3
察	5BDF	4
寸	5BF8	6
寺	5BFA	2
対	5BFE	3
専	5C02	6
射	5C04	6
将	5C06	6
尊	5C0A	6
導	5C0E	5
小	5C0F	1
少	5C11	2
就	5C31	6
尺	5C3A	6
局	5C40	3
居	5C45	5
届	5C4A	6
屋	5C4B	3
展	5C55	6
属	5C5E	5
層	5C64	6
山	5C71	1
岐	5C90	4
岡	5CA1	4
岩	5CA9	2
岸	5CB8	3
島	5CF6	3
崎	5D0E	4
川	5DDD	1
州	5DDE	3
巣	5DE3	4
工	5DE5	2
左	5DE6	1
差	5DEE	4
己	5DF1	6
巻	5DFB	6
市	5E02	2
布	5E03	5
希	5E0C	4
師	5E2B	5
席	5E2D	4
帯	5E2F	4
帰	5E30	2
帳	5E33	3
常	5E38	5
幕	5E55	6
干	5E72	6
平	5E73	3
年	5E74	1
幸	5E78	3
幹	5E79	5
幼	5E7C	6
庁	5E81	6
広	5E83	2
序	5E8F	5
底	5E95	4
店	5E97	2
府	5E9C	4
度	5EA6	3
座	5EA7	6
庫	5EAB	3
庭	5EAD	3
康	5EB7	4
延	5EF6	6
建	5EFA	4
弁	5F01	5
式	5F0F	3
弓	5F13	2
引	5F15	2
弟	5F1F	2
弱	5F31	2
張	5F35	5
強	5F37	2
当	5F53	2
形	5F62	2
役	5F79	3
往	5F80	5
径	5F84	4
待	5F85	3
律	5F8B	6
後	5F8C	2
徒	5F92	4
従	5F93	6
得	5F97	5
復	5FA9	5
徳	5FB3	4
心	5FC3	2
必	5FC5	4
志	5FD7	5
忘	5FD8	6
応	5FDC	5
忠	5FE0	6
快	5FEB	5
念	5FF5	4
思	601D	2
急	6025	3
性	6027	5
恩	6069	6
息	606F	3
悪	60AA	3
悲	60B2	3
情	60C5	5
想	60F3	3
意	610F	3
愛	611B	4
感	611F	3
態	614B	5
慣	6163	5
憲	61B2	6
成	6210	4
我	6211	6
戦	6226	4
戸	6238	2
所	6240	3
手	624B	1
才	624D	2
打	6253	3
批	6279	6
承	627F	6
技	6280	5
投	6295	3
折	6298	4
担	62C5	6
招	62DB	5
拝	62DD	6
拡	62E1	6
拾	62FE	3
持	6301	3
指	6307	3
挙	6319	4
捨	6368	6
授	6388	5
採	63A1	5
探	63A2	6
接	63A5	5
推	63A8	6
提	63D0	5
揮	63EE	6
損	640D	5
操	64CD	6
支	652F	5
改	6539	4
放	653E	3
政	653F	5
故	6545	5
救	6551	5
敗	6557	4
教	6559	2
散	6563	4
敬	656C	6
数	6570	2
整	6574	3
敵	6575	6
文	6587	1
料	6599	4
断	65AD	5
新	65B0	2
方	65B9	2
旅	65C5	3
族	65CF	3
旗	65D7	4
日	65E5	1
旧	65E7	5
早	65E9	1
明	660E	2
易	6613	5
昔	6614	3
星	661F	2
映	6620	6
春	6625	2
昨	6628	4
昭	662D	3
昼	663C	2
時	6642	2
晩	6669	6
景	666F	4
晴	6674	2
暑	6691	3
暖	6696	6
暗	6697	3
暮	66AE	6
暴	66B4	5
曜	66DC	2
曲	66F2	3
書	66F8	2
最	6700	4
月	6708	1
有	6709	3
服	670D	3
朗	6717	6
望	671B	4
朝	671D	2
期	671F	3
木	6728	1
未	672A	4
末	672B	4
本	672C	1
札	672D	4
机	673A	6
材	6750	4
村	6751	1
束	675F	4
条	6761	5
来	6765	2
東	6771	2
松	677E	4
板	677F	3
林	6797	1
枚	679A	6
果	679C	4
枝	679D	5
染	67D3	6
柱	67F1	3
査	67FB	5
栃	6803	4
栄	6804	4
校	6821	1
株	682A	6
根	6839	3
格	683C	5
案	6848	4
桜	685C	5
梅	6885	4
梨	68A8	4
械	68B0	4
棒	68D2	6
森	68EE	1
植	690D	3
検	691C	5
業	696D	3
極	6975	4
楽	697D	2
構	69CB	5
様	69D8	3
標	6A19	4
模	6A21	6
権	6A29	6
横	6A2A	3
樹	6A39	6
橋	6A4B	3
機	6A5F	4
欠	6B20	4
次	6B21	3
欲	6B32	6
歌	6B4C	2
止	6B62	2
正	6B63	1
武	6B66	5
歩	6B69	2
歯	6B6F	3
歴	6B74	5
死	6B7B	3
残	6B8B	4
段	6BB5	6
殺	6BBA	5
母	6BCD	2
毎	6BCE	2
毒	6BD2	5
比	6BD4	5
毛	6BDB	2
氏	6C0F	4
民	6C11	4
気	6C17	1
水	6C34	1
氷	6C37	3
永	6C38	5
求	6C42	4
池	6C60	2
決	6C7A	3
汽	6C7D	2
沖	6C96	4
河	6CB3	5
油	6CB9	3
治	6CBB	4
沿	6CBF	6
泉	6CC9	6
法	6CD5	4
波	6CE2	3
泣	6CE3	4
注	6CE8	3
泳	6CF3	3
洋	6D0B	3
洗	6D17	6
活	6D3B	2
派	6D3E	6
流	6D41	3
浅	6D45	4
浴	6D74	4
海	6D77	2
消	6D88	3
液	6DB2	5
深	6DF1	3
混	6DF7	5
清	6E05	4
済	6E08	6
減	6E1B	5
温	6E29	3
測	6E2C	5
港	6E2F	3
湖	6E56	3
湯	6E6F	3
満	6E80	4
源	6E90	6
準	6E96	5
滋	6ECB	4
漁	6F01	4
演	6F14	5
漢	6F22	3
潔	6F54	5
潟	6F5F	4
潮	6F6E	6
激	6FC0	6
火	706B	1
灯	706F	4
灰	7070	6
災	707D	5
炭	70AD	3
点	70B9	2
無	7121	4
然	7136	4
焼	713C	4
照	7167	4
熊	718A	4
熟	719F	6
熱	71B1	4
燃	71C3	5
父	7236	2
片	7247	6
版	7248	5
牛	725B	2
牧	7267	4
物	7269	3
特	7279	4
犬	72AC	1
犯	72AF	5
状	72B6	5
独	72EC	5
率	7387	5
玉	7389	1
王	738B	1
班	73ED	6
現	73FE	5
球	7403	3
理	7406	2
生	751F	1
産	7523	4
用	7528	2
田	7530	1
由	7531	3
申	7533	3
男	7537	1
町	753A	1
画	753B	2
界	754C	3
畑	7551	3
留	7559	5
略	7565	5
番	756A	2
異	7570	6
疑	7591	6
病	75C5	3
痛	75DB	6
発	767A	3
登	767B	3
白	767D	1
百	767E	1
的	7684	4
皇	7687	6
皮	76AE	3
皿	76BF	3
益	76CA	5
盛	76DB	6
盟	76DF	6
目	76EE	1
直	76F4	2
相	76F8	3
省	7701	4
看	770B	6
県	770C	3
真	771F	3
眼	773C	5
着	7740	3
矢	77E2	2
知	77E5	2
短	77ED	3
石	77F3	1
砂	7802	6
研	7814	3
破	7834	5
確	78BA	5
磁	78C1	6
示	793A	5
礼	793C	3
社	793E	2
祖	7956	5
祝	795D	4
神	795E	3
票	7968	4
祭	796D	3
禁	7981	5
福	798F	3
私	79C1	6
秋	79CB	2
科	79D1	2
秒	79D2	3
秘	79D8	6
移	79FB	5
程	7A0B	5
税	7A0E	5
種	7A2E	4
穀	7A40	6
積	7A4D	4
穴	7A74	6
究	7A76	3
空	7A7A	1
窓	7A93	6
立	7ACB	1
章	7AE0	3
童	7AE5	3
競	7AF6	4
竹	7AF9	1
笑	7B11	4
笛	7B1B	3
第	7B2C	3
筆	7B46	3
等	7B49	3
筋	7B4B	6
答	7B54	2
策	7B56	6
算	7B97	2
管	7BA1	4
箱	7BB1	3
節	7BC0	4
築	7BC9	5
簡	7C21	6
米	7C73	2
粉	7C89	5
精	7CBE	5
糖	7CD6	6
糸	7CF8	1
系	7CFB	6
紀	7D00	5
約	7D04	4
紅	7D05	6
納	7D0D	6
純	7D14	6
紙	7D19	2
級	7D1A	3
素	7D20	5
細	7D30	2
終	7D42	3
組	7D44	2
経	7D4C	5
結	7D50	4
給	7D66	4
統	7D71	5
絵	7D75	2
絶	7D76	5
絹	7D79	6
続	7D9A	4
綿	7DBF	5
総	7DCF	5
緑	7DD1	3
線	7DDA	2
編	7DE8	5
練	7DF4	3
縄	7E04	4
縦	7E26	6
縮	7E2E	6
績	7E3E	5
織	7E54	5
罪	7F6A	5
置	7F6E	4
署	7F72	6
羊	7F8A	3
美	7F8E	3
群	7FA4	4
義	7FA9	5
羽	7FBD	2
翌	7FCC	6
習	7FD2	3
老	8001	4
考	8003	2
者	8005	3
耕	8015	5
耳	8033	1
聖	8056	6
聞	805E	2
職	8077	5
肉	8089	2
肥	80A5	5
育	80B2	3
肺	80BA	6
胃	80C3	6
背	80CC	6
胸	80F8	6
能	80FD	5
脈	8108	5
脳	8133	6
腸	8178	6
腹	8179	6
臓	81D3	6
臣	81E3	4
臨	81E8	6
自	81EA	2
至	81F3	6
興	8208	5
舌	820C	6
