1	的	 9,614,295 	 9,614,295 	 22,447 
2	是	 3,564,681 	 13,178,976 	 8,322 
3	不	 3,531,299 	 16,710,275 	 8,244 
4	一	 3,531,280 	 20,241,555 	 8,244 
5	人	 3,300,485 	 23,542,040 	 7,705 
6	有	 3,249,265 	 26,791,305 	 7,586 
7	在	 3,192,470 	 29,983,775 	 7,453 
8	年	 2,809,175 	 32,792,950 	 6,558 
9	大	 2,635,080 	 35,528,030 	 6,385 
10	中	 2,649,147 	 38,177,177 	 6,185 
11	國	 2,635,060 	 40,812,237 	 6,152 
12	會	 2,463,262 	 43,275,499 	 5,751 
13	為	 2,192,682 	 45,468,181 	 5,119 
14	台	 2,172,034 	 47,640,215 	 5,071 
15	出	 1,980,749 	 49,620,964 	 4,624 
16	上	 1,868,795 	 51,489,759 	 4,363 
17	到	 1,802,037 	 53,291,796 	 4,207 
18	以	 1,712,761 	 55,004,557 	 3,998 
19	時	 1,706,764 	 56,711,321 	 3,984 
20	也	 1,646,192 	 58,357,513 	 3,843 
21	來	 1,641,206 	 59,998,719 	 3,831 
22	他	 1,542,972 	 61,541,691 	 3,602 
23	要	 1,513,006 	 63,054,697 	 3,532 
24	民	 1,477,702 	 64,532,399 	 3,450 
25	生	 1,476,494 	 66,008,893 	 3,447 
26	成	 1,471,340 	 67,480,233 	 3,435 
27	日	 1,470,099 	 68,950,332 	 3,432 
28	與	 1,446,620 	 70,396,952 	 3,377 
29	長	 1,426,068 	 71,823,020 	 3,329 
30	後	 1,421,611 	 73,244,631 	 3,319 
31	對	 1,404,331 	 74,648,962 	 3,278 
32	家	 1,401,111 	 76,050,073 	 3,271 
33	了	 1,381,703 	 77,431,776 	 3,225 
34	前	 1,352,653 	 78,784,429 	 3,158 
35	可	 1,339,339 	 80,123,768 	 3,127 
36	能	 1,335,914 	 81,459,682 	 3,119 
37	發	 1,331,798 	 82,791,480 	 3,109 
38	說	 1,330,946 	 84,122,426 	 3,107 
39	市	 1,330,536 	 85,452,962 	 3,106 
40	多	 1,317,358 	 86,770,320 	 3,075 
41	公	 1,300,728 	 88,071,048 	 3,036 
42	行	 1,292,913 	 89,363,961 	 3,018 
43	這	 1,276,710 	 90,640,671 	 2,980 
44	過	 1,245,386 	 91,886,057 	 2,907 
45	就	 1,243,400 	 93,129,457 	 2,903 
